domain,scripts,Prediction
olukai.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.pearlizumi.com,https://www.pearlizumi.com/cdn/wpm/b922b36b9w64bffb83p492751e9m8c124dc0m.js,0
sundayriley.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
sundayriley.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
edikted.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
edikted.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
frankiesbikinis.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
frankiesbikinis.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.3wishes.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.3wishes.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.vervecoffee.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.vervecoffee.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
retrospec.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
retrospec.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.bokksu.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.bokksu.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.unclaimedbaggage.com,https://www.unclaimedbaggage.com/cdn/wpm/b922b36b9w64bffb83p492751e9m8c124dc0m.js,0
auratenewyork.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
auratenewyork.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
shop.liquid-iv.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
shop.liquid-iv.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
boutiquerugs.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
boutiquerugs.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
dressbarn.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
dressbarn.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
www.victoriabeckham.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.victoriabeckham.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
arteza.com,https://cdn.shopify.com/b922b36b9w64bffb83p492751e9m8c124dc0m.js,
arteza.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.BcjI8HcX.js,2
www.sculpey.com,https://www.sculpey.com/cdn/wpm/b922b36b9w64bffb83p492751e9m8c124dc0m.js,0
