domain,scripts,Prediction
hydrow.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.solawave.co,https://www.solawave.co/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.pfaltzgraff.com,https://www.pfaltzgraff.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.liquitex.com,https://www.liquitex.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.decathlon.com,https://www.decathlon.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
brightland.co,https://brightland.co/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
starface.world,https://starface.world/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
pacsafe.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.cobra.com,https://www.cobra.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
tataharperskincare.com,https://tataharperskincare.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
taser.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.juviasplace.com,https://www.juviasplace.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
nakedwolfe.com,https://nakedwolfe.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
flaviar.com,https://flaviar.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.simplemodern.com,https://www.simplemodern.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
petlibro.com,https://petlibro.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.skratchlabs.com,https://www.skratchlabs.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
taftclothing.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.hunterfan.com,https://www.hunterfan.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.meshki.us,https://www.meshki.us/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
teeturtle.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.leminimacaron.com,https://www.leminimacaron.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
xoticpc.com,https://xoticpc.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.owlcrate.com,https://www.owlcrate.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
mygemma.com,https://mygemma.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.elizabetharden.com,https://www.elizabetharden.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
goorin.com,https://goorin.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
lemmelive.com,https://lemmelive.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
edikted.com,https://edikted.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
jewelrybyjohan.com,https://jewelrybyjohan.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
rishi-tea.com,https://rishi-tea.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.nemoequipment.com,https://www.nemoequipment.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.stoneglacier.com,https://www.stoneglacier.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.thetiebar.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
passionplanner.com,https://passionplanner.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
passionplanner.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
uniden.com,https://uniden.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
greatjonesgoods.com,https://greatjonesgoods.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
greatjonesgoods.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
longaberger.com,https://longaberger.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.keenfootwear.com,https://www.keenfootwear.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.trueclassictees.com,https://www.trueclassictees.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.puravidabracelets.com,https://www.puravidabracelets.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
cozyearth.com,https://cozyearth.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
cozyearth.com,https://cdn.noibu.com/collect-recording.js,
cozyearth.com,https://cdn.noibu.com/collect-core.js?shop=cozyearth2.myshopify.com,
sierranevada.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.jennikayne.com,https://www.jennikayne.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.getquip.com,https://www.getquip.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
losangelesapparel.net,https://losangelesapparel.net/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.patmcgrath.com,https://www.patmcgrath.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.youngla.com,https://www.youngla.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.tuftandpaw.com,https://www.tuftandpaw.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.buckmason.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
sokoglam.com,https://sokoglam.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
yourparade.com,https://yourparade.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
southerntide.com,https://southerntide.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
versedskin.com,https://versedskin.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
shopakira.com,https://shopakira.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.mypetchicken.com,https://www.mypetchicken.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
